CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
I(27-564) 27-1062
I(27-565) 27-1063
I(27-566) 27-1064
I(27-576) 27-1082
I(27-577) 27-1083
I(27-578) 27-1084
I(27-579) 27-1085
I(27-580) 27-1086
I(27-581) 27-1087
I(27-582) 27-1088
I(27-584) 27-1089
I(27-585) 27-1090
I(27-586) 27-1091
I(27-587) 27-1092
I(27-596) 27-1123
I(27-597) 27-1124
I(27-598) 27-1125
I(27-599) 27-1126
I(27-600) 27-1127
I(27-601) 27-1128
I(27-602) 27-1129
I(27-603) 27-1130
I(27-604) 27-1131
I(27-605) 27-1132
I(27-606) 27-1133
I(27-616) 27-1160
I(27-617) 27-1161
I(27-618) 27-1162
I(27-619) 27-1163
I(27-620) 27-1164
I(27-621) 27-1165
I(27-622) 27-1166
I(27-623) 27-1167
I(27-624) 27-1168
I(27-625) 27-1169
I(27-627) 27-1170
I(27-636) 27-1189
I(27-637) 27-1190
I(27-638) 27-1191
I(27-639) 27-1192
I(27-640) 27-1193
I(27-641) 27-1194
